,Var
SRS022858.574406,0
SRS063307.570653,0
SRS021790.576317,0
SRS015389.573465,0
SRS011410.570454,1
SRS014978.570429,1
SRS019990.576063,0
SRS015782.570244,1
SRS052697.573305,0
SRS015518.572205,0
SRS016056.575793,1
SRS057447.570806,1
SRS058416.575342,1
SRS063324.572433,0
SRS020811.575527,1
SRS018427.575694,1
SRS018068.575993,0
SRS050733.571338,0
SRS013386.571770,1
SRS018133.570446,1
SRS014923.575333,1
SRS016630.575910,0
SRS020983.570993,1
SRS014885.571435,1
SRS020527.573698,1
SRS015133.575616,0
SRS011271.570242,1
SRS019846.570854,0
SRS011157.572834,1
SRS011653.575556,0
SRS020413.572892,1
SRS018313.575129,1
SRS014369.575805,1
SRS022291.574760,0
SRS023671.575037,0
SRS014659.575591,1
SRS042387.574196,1
SRS020350.575544,0
SRS016954.573937,1
SRS044415.571480,0
SRS013543.571468,0
SRS015452.570749,1
SRS011586.574634,0
SRS017191.571061,1
SRS020755.570974,1
SRS020584.572609,1
SRS015663.574452,1
SRS018370.571565,1
SRS021724.575151,0
SRS055482.574421,0
SRS011452.573598,1
SRS014287.575983,1
SRS013638.573699,1
SRS011415.570853,0
SRS015332.574075,0
SRS049823.574392,0
SRS021853.576597,1
SRS015724.576129,0
SRS053335.574838,0
SRS020233.571448,1
SRS015247.573888,0
SRS049959.573354,1
SRS012191.575409,0
SRS022546.571178,0
SRS011300.570651,1
SRS065665.572519,0
SRS021304.570956,1
SRS015578.571615,1
SRS023242.573391,1
SRS017455.572226,0
SRS017821.573378,1
SRS054608.570991,0
SRS011621.574052,0
SRS063524.570449,0
SRS047642.574920,1
SRS016152.575818,0
SRS022033.573903,1
SRS047950.573238,1
SRS022354.575121,1
SRS015599.573980,0
SRS062610.573115,0
SRS016335.574806,1
SRS017307.573991,1
SRS048008.572082,0
SRS016267.574460,1
SRS014999.573319,0
SRS016517.572220,0
SRS014823.573220,0
SRS052196.570693,0
SRS064321.574734,1
SRS016990.572825,1
SRS011413.574891,0
SRS045414.575582,0
SRS018733.576038,0
SRS020290.575215,1
SRS054461.575014,0
SRS046313.573233,1
SRS046382.571580,1
SRS021065.570555,0
SRS018250.572026,0
SRS018817.576371,1
SRS045613.573221,0
SRS016095.576115,0
SRS052471.571491,1
SRS016841.574223,1
SRS013801.571266,1
SRS013762.575688,1
SRS015190.574603,0
SRS045607.576274,0
SRS021109.576014,0
SRS013216.572775,1
SRS017521.574116,0
SRS042415.573963,1
SRS022735.571961,0
SRS011529.572499,1
SRS018607.575108,1
SRS015281.574499,1
SRS014235.575451,1
SRS063138.571059,0
SRS018559.572688,0
SRS011405.573854,0
SRS063068.571182,0
SRS017764.574643,1
SRS064335.576415,0
SRS014442.576591,0
SRS048838.571581,1
SRS023302.575573,0
SRS019267.572944,0
SRS017878.574593,1
SRS022159.574664,0
SRS016400.574860,1
SRS013490.574260,1
SRS043804.574131,1
SRS017701.572771,0
SRS013177.574389,1
SRS021241.571478,0
SRS065725.572916,1
SRS017103.576059,1
SRS024682.575524,1
SRS014613.575883,0
SRS015911.574784,1
SRS065466.573967,0
SRS020926.575158,1
SRS013687.574921,1
SRS043299.571343,1
SRS020641.575934,1
SRS057267.575683,1
SRS017394.570518,1
SRS054590.570811,0
SRS023365.574376,0
SRS016437.570695,1
SRS018076.571839,1
SRS015960.575325,1
SRS020470.572461,1
SRS023791.575870,1
SRS018190.571470,1
SRS016753.575947,1
SRS046349.571012,1
SRS020869.573690,1
SRS017266.574666,1
SRS021664.571072,1
SRS014345.572672,0
SRS049157.576520,0
SRS017641.575969,1
SRS020698.571008,1
SRS016916.571068,1
SRS022798.573725,1
SRS048853.572732,1
SRS022225.570741,0
SRS016018.576061,1
SRS016203.576485,0
SRS021427.570998,1
SRS014572.575816,0
SRS017997.575028,1
SRS018489.573389,0
SRS021364.571294,0
SRS044146.570376,0
SRS021175.572518,0
SRS048722.571397,0
SRS016585.571610,0
